availability;description;features;brand;name;id;price;category;images;quantity
10 dni;Producent: Lutec  <br>Nazwa: CUBA  <br>Symbol: 7193801118  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 750<br>  * szerokość (mm): 237<br>  * głębokość (mm): 110<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 23W 1000lm 3000K<br>  * max moc źródła: 23 W<br>  * napięcie: 230<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Antracyt<br>  * materiał: aluminium/tworzywo<br>  * IP: 54<br><br><br>;<br><br> Specyficzne kody<br>;Lutec;CUBA STOJĄCA;8714;495.69;Stojące zewnętrzne;https://jasniej.com/19375-thickbox_01resp/cuba-stojaca.jpg, https://jasniej.com/19376-thickbox_01resp/cuba-stojaca.jpg, https://jasniej.com/19377-thickbox_01resp/cuba-stojaca.jpg;1
10 dni;Producent: Lutec  <br>Nazwa: LONDON  <br>Symbol: 9700359330  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 449<br>  * szerokość (mm): 280<br>  * głębokość (mm): 280<br>  * ilość źródeł / rodzaj trzonka: nie dotyczy<br>  * max moc źródła: 0 W<br>  * napięcie: 0<br>  * źródło w zestawie: brak<br>  * kolor lampy: Czarny<br>  * materiał: tworzywo<br>  * IP: 0<br><br><br>;<br><br> Specyficzne kody<br>;Lutec;LONDON STOJĄCA;8855;180.81;Stojące zewnętrzne;https://jasniej.com/19798-thickbox_01resp/london-stojaca.jpg, https://jasniej.com/19799-thickbox_01resp/london-stojaca.jpg, https://jasniej.com/19800-thickbox_01resp/london-stojaca.jpg;1
10 dni;Producent: Lutec  <br>Nazwa: SOLSTEL - CZUJNIK RUCHU  <br>Symbol: 6907903001  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 450<br>  * szerokość (mm): 70<br>  * głębokość (mm): 122<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 2W 150lm 4000K<br>  * max moc źródła: 2 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Stalowy<br>  * materiał: stal nierdzewna/tworzywo<br>  * IP: 44<br><br><br>;<br><br> Specyficzne kody<br>;Lutec;SOLSTEL - CZUJNIK RUCHU STOJĄCA;8849;270.6;Stojące zewnętrzne;https://jasniej.com/19780-thickbox_01resp/solstel-czujnik-ruchu-stojaca.jpg, https://jasniej.com/19781-thickbox_01resp/solstel-czujnik-ruchu-stojaca.jpg, https://jasniej.com/19782-thickbox_01resp/solstel-czujnik-ruchu-stojaca.jpg;7
10 dni;Producent: Lutec  <br>Nazwa: DRAGONFLY  <br>Symbol: 6904101337  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 281<br>  * szerokość (mm): 102<br>  * głębokość (mm): 102<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 120lm 4000K<br>  * max moc źródła: 1 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Srebrnoszary<br>  * materiał: tworzywo/tworzywo<br>  * IP: 54<br><br><br>;<br><br> Specyficzne kody<br>;Lutec;DRAGONFLY STOJĄCA;8838;180.81;Stojące zewnętrzne;https://jasniej.com/19747-thickbox_01resp/dragonfly-stojaca.jpg, https://jasniej.com/19748-thickbox_01resp/dragonfly-stojaca.jpg, https://jasniej.com/19749-thickbox_01resp/dragonfly-stojaca.jpg;3
10 dni;Producent: Lutec  <br>Nazwa: LONDON  <br>Symbol: 6951301189  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 227<br>  * szerokość (mm): 310<br>  * głębokość (mm): 310<br>  * ilość źródeł / rodzaj trzonka: 3 x E12 6W 300lm 2700K<br>  * max moc źródła: 6 W<br>  * napięcie: 0<br>  * źródło w zestawie: E12<br>  * kolor lampy: Brązowy<br>  * materiał: aluminium/szkło<br>  * IP: 44<br><br><br>;<br><br> Specyficzne kody<br>;Lutec;LONDON STOJĄCA;8856;811.8;Stojące zewnętrzne;https://jasniej.com/19801-thickbox_01resp/london-stojaca.jpg, https://jasniej.com/19802-thickbox_01resp/london-stojaca.jpg, https://jasniej.com/19803-thickbox_01resp/london-stojaca.jpg;4
10 dni;Producent: Lutec  <br>Nazwa: DISO  <br>Symbol: 6906703335  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 145<br>  * szerokość (mm): 175<br>  * głębokość (mm): 160<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 2W 200lm 4000K<br>  * max moc źródła: 2 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Szary<br>  * materiał: tworzywo/tworzywo<br>  * IP: 44<br><br><br>;<br><br> Specyficzne kody<br>;Lutec;DISO STOJĄCA;8847;226.32;Stojące zewnętrzne;https://jasniej.com/19774-thickbox_01resp/diso-stojaca.jpg, https://jasniej.com/19775-thickbox_01resp/diso-stojaca.jpg, https://jasniej.com/19776-thickbox_01resp/diso-stojaca.jpg;1
10 dni;Producent: Lutec  <br>Nazwa: DRAGONFLY  <br>Symbol: 6904101339  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 281<br>  * szerokość (mm): 102<br>  * głębokość (mm): 102<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 120lm 4000K<br>  * max moc źródła: 1 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Zielony<br>  * materiał: tworzywo/tworzywo<br>  * IP: 54<br><br><br>;<br><br> Specyficzne kody<br>;Lutec;DRAGONFLY STOJĄCA;8836;180.81;Stojące zewnętrzne;https://jasniej.com/19741-thickbox_01resp/dragonfly-stojaca.jpg, https://jasniej.com/19742-thickbox_01resp/dragonfly-stojaca.jpg, https://jasniej.com/19743-thickbox_01resp/dragonfly-stojaca.jpg;6
10 dni;Producent: Lutec  <br>Nazwa: DRAGONFLY  <br>Symbol: 6904101331  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 281<br>  * szerokość (mm): 102<br>  * głębokość (mm): 102<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 120lm 4000K<br>  * max moc źródła: 1 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Biały<br>  * materiał: tworzywo/tworzywo<br>  * IP: 54<br><br><br>;<br><br> Specyficzne kody<br>;Lutec;DRAGONFLY STOJĄCA;8837;180.81;Stojące zewnętrzne;https://jasniej.com/19744-thickbox_01resp/dragonfly-stojaca.jpg, https://jasniej.com/19745-thickbox_01resp/dragonfly-stojaca.jpg, https://jasniej.com/19746-thickbox_01resp/dragonfly-stojaca.jpg;4
10 dni;Producent: Lutec  <br>Nazwa: DRAGONFLY  <br>Symbol: 6904101340  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 281<br>  * szerokość (mm): 102<br>  * głębokość (mm): 102<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 1W 120lm 4000K<br>  * max moc źródła: 1 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Pomarańczowy<br>  * materiał: tworzywo/tworzywo<br>  * IP: 54<br><br><br>;<br><br> Specyficzne kody<br>;Lutec;DRAGONFLY STOJĄCA;8835;158.67;Stojące zewnętrzne;https://jasniej.com/19738-thickbox_01resp/dragonfly-stojaca.jpg, https://jasniej.com/19739-thickbox_01resp/dragonfly-stojaca.jpg, https://jasniej.com/19740-thickbox_01resp/dragonfly-stojaca.jpg;1
10 dni;Producent: Lutec  <br>Nazwa: PADLIGHT  <br>Symbol: 6907701331  <br>Parametry<br><br>  * średnica (mm): <br>  * wysokość (mm): 180<br>  * szerokość (mm): 24<br>  * głębokość (mm): 141<br>  * ilość źródeł / rodzaj trzonka: 1 x LED zintegr. 2W 200lm 4000K<br>  * max moc źródła: 2 W<br>  * napięcie: 0<br>  * źródło w zestawie: LED zintegr.<br>  * kolor lampy: Biały<br>  * materiał: tworzywo/tworzywo<br>  * IP: 44<br><br><br>;<br><br> Specyficzne kody<br>;Lutec;PADLIGHT STOJĄCA;8834;180.81;Stojące zewnętrzne;https://jasniej.com/19735-thickbox_01resp/padlight-stojaca.jpg, https://jasniej.com/19736-thickbox_01resp/padlight-stojaca.jpg, https://jasniej.com/19737-thickbox_01resp/padlight-stojaca.jpg;0
